name,url,category,author,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories
Basic Mashed Potatoes,https://www.allrecipes.com/recipe/24771/basic-mashed-potatoes/,side-dish,Esmee Williams,"If you love good, old fashioned mashed potatoes this is the perfect recipe. Simple and delicious.",4.52,589,356,"2 pounds baking potatoes, peeled and quartered ; 2 tablespoons butter ; 1 cup milk ;   salt and pepper to taste","Bring a pot of salted water to a boil.  Add potatoes and cook until tender but still firm, about 15 minutes; drain. In a small saucepan heat butter and milk over low heat until butter is melted.  Using a potato masher or electric beater, slowly blend milk mixture into potatoes until smooth and creamy.  Season with salt and pepper to taste.",15 mins,20 mins,35 mins,4,4 servings,257.1
Creamy Lemon Chicken Thighs,https://www.allrecipes.com/recipe/272322/creamy-lemon-chicken-thighs/,meat-and-poultry,Destiny Elizabeth Glynn,"Tender dark-meat chicken thighs and drumsticks baked in a rich, creamy white sauce.",4.84,86,45,"6  chicken thighs ; 6  chicken drumsticks ; 2 teaspoons salt ; 2 teaspoons ground black pepper ; 2 teaspoons ground paprika ; 2 tablespoons salted butter ; 4 sprigs fresh thyme leaves ; 2 cloves minced garlic ; 2 tablespoons all-purpose flour ; ? cup white wine ; ? cup chicken stock ;   lemon, juiced ; ? cup heavy whipping cream ; ? cup grated Parmesan cheese","Preheat the oven to 400 degrees F (200 degrees C). Place chicken in a large bowl and coat generously with salt, pepper, and paprika. Heat butter in a large skillet over medium heat. Add chicken to the skillet in batches, skin-side down. Cook until skin is golden and crispy, about 2 minutes per batch. Remove chicken and place into a large baking dish. Add thyme and garlic to the skillet. Cook over medium heat until garlic is fragrant and lightly browned, about 1 minute. Whisk in flour slowly into a thick paste. Add wine, stock, lemon juice, and cream and bring to a simmer, about 5 minutes. Add Parmesan cheese and stir until melted. Pour sauce over chicken in the baking dish. Bake in the preheated oven, uncovered, until chicken is not longer pink inside and juices run clear, about 30 minutes.",15 mins,40 mins,55 mins,12,12 servings,247.2
Root Beer Pork Chops,https://www.allrecipes.com/recipe/198617/root-beer-pork-chops/,main-dish,Ken from CA,These are great for outdoor grilling. Simple and very tasty. The glaze at the end gives them a lot of concentrated flavor.,3.81,266,197,"4  (1-inch thick) pork chops ; 3 (12 fluid ounce) cans or bottles root beer ;   salt and pepper to taste ; 1 cup beef stock ; 2 tablespoons brown sugar ; ? teaspoon chipotle-flavored hot sauce ; 2 teaspoons Worcestershire sauce ; 1 pinch salt, to taste","Place the pork chops in a dish; pour 2 cans of the root beer over the chops. Place in refrigerator to marinate at least 2 hours. Remove the pork chops from the root beer; season with salt and pepper. Combine the remaining can of root beer, the beef stock, brown sugar, hot sauce, and Worcestershire sauce in a saucepan over medium heat; simmer the mixture until it reduces to about 3/4 cup. Set aside. Preheat an outdoor grill for medium-high heat, and lightly oil the grate. Grill the pork chops on the preheated grill until the no longer pink in the center, about 8 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C). Brush the chops generously with the reduction sauce and continue cooking for about 2 minutes more per side. Remove from grill and brush with any remaining sauce. Season with salt to taste before serving.",10 mins,30 mins,2 hrs 40 mins,4,4 pork chops,408.6
Easy Sugar Cookies,https://www.allrecipes.com/recipe/9870/easy-sugar-cookies/,desserts,Stephanie,"Quick and easy sugar cookies! They are really good, plain or with candies in them. My friend uses chocolate mints on top, and they're great!",4.47,8016,6230,"2 ? cups all-purpose flour ; 1 teaspoon baking soda ; ? teaspoon baking powder ; 1 cup butter, softened ; 1 ? cups white sugar ; 1  egg ; 1 teaspoon vanilla extract","Preheat oven to 375 degrees F (190 degrees C). In a small bowl, stir together flour, baking soda, and baking powder. Set aside. In a large bowl, cream together the butter and sugar until smooth. Beat in egg and vanilla. Gradually blend in the dry ingredients. Roll rounded teaspoonfuls of dough into balls, and place onto ungreased cookie sheets. Bake 8 to 10 minutes in the preheated oven, or until golden. Let stand on cookie sheet two minutes before removing to cool on wire racks.",,,,48,4 dozen,85.9
Classic Waffles,https://www.allrecipes.com/recipe/20513/classic-waffles/,breakfast-and-brunch,Megan,"A lovely, crispy waffle perfect for the morning.",4.54,3738,2636,"2 cups all-purpose flour ; 1 teaspoon salt ; 4 teaspoons baking powder ; 2 tablespoons white sugar ; 2  eggs ; 1 ? cups warm milk ; ? cup butter, melted ; 1 teaspoon vanilla extract","In a large bowl, mix together flour, salt, baking powder and sugar; set aside. Preheat waffle iron to desired temperature. In a separate bowl, beat the eggs. Stir in the milk, butter and vanilla. Pour the milk mixture into the flour mixture; beat until blended. Ladle the batter into a preheated waffle iron. Cook the waffles until golden and crisp. Serve immediately.",10 mins,15 mins,25 mins,5,10 to 12 waffles,379
Creamy Au Gratin Potatoes,https://www.allrecipes.com/recipe/15925/creamy-au-gratin-potatoes/,side-dish,CathyM,"This is my husband's favorite dish, and he considers it a special occasion every time I make it. The creamy cheese sauce and the tender potatoes in this classic French dish combine to make a deliciously addictive experience. It's a great side dish with a roast pork loin or beef tenderloin. Add a green salad and French bread, and you have found the magic path to a man's heart. To avoid lumps in your sauce, add the milk just a little at a time as you stir the flour and butter. Experiment with different cheeses for variety.",4.54,5843,4245,"4  russet potatoes, sliced into 1/4 inch slices ; 1  onion, sliced into rings ;   salt and pepper to taste ; 3 tablespoons butter ; 3 tablespoons all-purpose flour ; ? teaspoon salt ; 2 cups milk ; 1 ? cups shredded Cheddar cheese","Preheat oven to 400 degrees F (200 degrees C). Butter a medium casserole dish. Layer 1/2 of the potatoes into bottom of the prepared casserole dish. Top with the onion slices, and add the remaining potatoes. Season with salt and pepper to taste. In a medium-size saucepan, melt butter over medium heat. Mix in the flour and salt, and stir constantly with a whisk for one minute. Stir in milk. Cook until mixture has thickened. Stir in cheese all at once, and continue stirring until melted, about 30 to 60 seconds. Pour cheese over the potatoes, and cover the dish with aluminum foil. Bake 1 1/2 hours in the preheated oven.",30 mins,1 hr 30 mins,2 hrs,4,4 servings,498.8
Best Steak Marinade in Existence,https://www.allrecipes.com/recipe/143809/best-steak-marinade-in-existence/,side-dish,Kookie,"This is a family recipe that has been developed only over the last 5 years. In this short time it's made me famous in our close circle, but until now I've never shared it with anyone.",4.59,4362,3083,? cup soy sauce , ? cup olive oil , ? cup fresh lemon juice , ? cup Worcestershire sauce , 1 ? tablespoons garlic powder , 3 tablespoons dried basil , 1 ? tablespoons dried parsley flakes , 1 teaspoon ground white pepper 
Ground Beef and Cabbage,https://www.allrecipes.com/recipe/229324/ground-beef-and-cabbage/,everyday-cooking,mtgraham2,"My mother was a country cook, plain and simple. But as I have traveled and worked and experienced foods from around the world, I look back and realize that many of the dishes she prepared, while simple, were perfect for that moment. Sometimes we have to put emotion and love in a dish to make it extra-special. The dish I am going to give you today is one like that. Simple and easy, yet full of love and goodness. My mother used to serve this with corn on the cob and cornbread. Very inexpensive and very good as well. Enjoy an Ozark memory...",4.41,350,239,"1 large head cabbage, finely chopped ; 1 (14.5 ounce) can diced tomatoes with juice ; 1  onion, halved and thinly sliced ; 1 tablespoon Italian seasoning ;   salt and ground black pepper to taste ; 1 pound lean ground beef","Combine cabbage, tomatoes with juice, onion, Italian seasoning, salt, and black pepper in a large pot over low  heat. Bring cabbage mixture to a simmer and crumble ground beef into the pot. Cover and cook until cabbage is tender and ground beef is cooked through, about 45 minutes. Stir occasionally.",15 mins,45 mins,1 hr,6,6 servings,227.9
Juicy Roasted Chicken,https://www.allrecipes.com/recipe/83557/juicy-roasted-chicken/,world-cuisine,ROBINROCKINGBIRD,My grandmother's recipe for roasted chicken. We are German and she used to do it this way all the time. I never have had a chicken this juicy before, this little trick works and makes the people eating it go silent. It's funny. We nibble on the celery after.,4.71,3944,2835,"1 (3 pound) whole chicken, giblets removed ;   salt and black pepper to taste ; 1 tablespoon onion powder, or to taste ; ? cup margarine, divided ; 1 stalk celery, leaves removed","Preheat oven to 350 degrees F (175 degrees C). Place chicken in a roasting pan, and season generously inside and out with salt and pepper. Sprinkle inside and out with onion powder. Place 3 tablespoons margarine in the chicken cavity. Arrange dollops of the remaining margarine around the chicken's exterior. Cut the celery into 3 or 4 pieces, and place in the chicken cavity. Bake uncovered 1 hour and 15 minutes in the preheated oven, to a minimum internal temperature of 180 degrees F (82 degrees C). Remove from heat, and baste with melted margarine and drippings. Cover with aluminum foil, and allow to rest about 30 minutes before serving.",10 mins,1 hr 15 mins,1 hr 40 mins,6,6 servings
Taco Lettuce Wraps,https://www.allrecipes.com/recipe/274968/taco-lettuce-wraps/,world-cuisine,Kristina72913,Easy taco lettuce wraps.,4.7,10,2,"1 pound ground turkey ; 1 (16 ounce) package frozen corn ; 1 (15 ounce) can black beans ; 1 (14.5 ounce) can diced tomatoes ; 1 (1 ounce) package taco seasoning mix ;   romaine leaves, rinsed and dried","Heat a large nonstick skillet over medium-high heat. Cook and stir ground turkey in the hot skillet until browned and crumbly, 5 to 7 minutes. Stir in corn, black beans, diced tomatoes, and  . Bring to a simmer and cook until heated through, 10 to 12 minutes. Lay lettuce leaves on a flat surface and fill with turkey and bean mixture.",5 mins,20 mins,25 mins,6,6 servings,274.6
"Apple, Cheddar, and Bacon Quiche",https://www.allrecipes.com/recipe/281670/apple-cheddar-and-bacon-quiche/,breakfast-and-brunch,Vanessa Rogers,Sweet apples plus savory bacon equals a perfect quiche. We added a whole chopped poblano pepper last time and it complemented it very well.,4.15,13,11,"1 (15 ounce) package unbaked pie crust ; ? (8 ounce) package bacon ; ? small onion, finely chopped ; 1 large apple - peeled, cored, and sliced ; 1 tablespoon chopped garlic ; ? cup milk ; ? cup sour cream ; 3 large eggs ; 1 teaspoon sea salt ; 1 pinch ground cinnamon ; ? (8 ounce) package shredded sharp Cheddar cheese ; 1 tablespoon dried sage","Preheat the oven to 450 degrees F (230 degrees C). Press pie crust into the bottom and up the sides of an 11-inch tart pan. Bake in the preheated oven until golden, 10 to 12 minutes. Remove and let cool. Reduce the oven temperature to 325 degrees F (165 degrees C). Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels. Crumble. Heat bacon grease in the same skillet over medium-high heat. Add onion and saute until translucent, about 5 minutes. Add apple and cook until just tender, 3 to 5 minutes. Add garlic and saute until fragrant, about 1 minute. Remove from heat and stir in bacon. Whisk milk, sour cream, eggs, sea salt, and cinnamon together in a bowl. Layer apple mixture, Cheddar cheese, and egg mixture in the prepared crust. Sprinkle sage over top. Bake in the preheated oven until set, 30 to 40 minutes. Allow to cool before serving.",20 mins,1 hr,1 hr 20 mins,8,1 11-inch quiche,413.8
Okinawan-Style Pad Thai,https://www.allrecipes.com/recipe/220424/okinawan-style-pad-thai/,world-cuisine,David Peters,"This is a famous dish popularized in Thailand. Although the recipe varies from cook to cook and region to region, this is a good attempt at recreating what I ate from Thai-owned hole-in-the-wall restaurants in Okinawa, Japan. Key to the flavor are the sugar levels, unsalted peanuts, peanut oil, and either oyster or fish sauce.",4.68,19,7,"? cup rice wine vinegar ; ? cup white sugar ; ? cup oyster sauce ; 2 tablespoons tamarind pulp ; 1 (12 ounce) package dried rice noodles ;   cold water, as needed ; ? cup peanut oil ; 4  eggs ; 1 ? teaspoons minced garlic ; 12 ounces chicken breast, cut into 1/2-inch strips ; 1 ? tablespoons white sugar, or more to taste ; 1 ? teaspoons salt ; 1 ? cups dry-roasted, unsalted peanuts ; 1 ? teaspoons dried ground Asian radish ; 1 teaspoon chili powder, or more to taste  ; ? cup chopped fresh chives ; 2 cups fresh bean sprouts ; 1  lime, cut into wedges","Whisk together rice wine vinegar, 1/2 cup sugar, oyster sauce, and tamarind pulp in a saucepan over medium heat until sugar dissolves, about 5 minutes; remove from heat and set aside. Place rice noodles in a large bowl and pour enough cold water to cover noodles. Allow to soften, about 10 minutes. Drain. Heat peanut oil in a wok or large skillet over medium heat. Cook and stir eggs and garlic in hot oil until eggs are softly cooked, 2 to 3 minutes. Stir chicken and noodles into eggs and cook until chicken is no longer pink in the center and juices run clear, about 5 minutes. Pour rice wine vinegar sauce, 1 1/2 tablespoons sugar, and 1 1/2 teaspoons salt into the noodle mixture. Stir peanuts, ground radish, and chili powder into noodle mixture; cook until peanuts soften slightly, about 5 minutes. Add more sugar or chili powder if desired. Remove from heat and toss chives with noodle mixture. Top with bean sprouts and garnish with lime wedges.",10 mins,20 mins,40 mins,8,8 servings,596.7
Classic Macaroni Salad,https://www.allrecipes.com/recipe/81108/classic-macaroni-salad/,salad,Graden,This is a salad that everyone seems to love. I always get lots of compliments on this recipe and it is just a pleasing taste that seems to suit everyone.,4.46,2686,2050,"4 cups uncooked elbow macaroni ; 1 cup mayonnaise ; ? cup distilled white vinegar ; ? cup white sugar ; 2 ? tablespoons prepared yellow mustard ; 1 ? teaspoons salt ; ? teaspoon ground black pepper ; 1 large onion, chopped ; 2 stalks celery, chopped ; 1  green bell pepper, seeded and chopped ; ? cup grated carrot  (Optional); 2 tablespoons chopped pimento peppers  (Optional)","Bring a large pot of lightly salted water to a boil. Add the macaroni, and cook until tender, about 8 minutes. Rinse under cold water and drain. In a large bowl, mix together the mayonnaise, vinegar, sugar, mustard, salt and pepper. Stir in the onion, celery, green pepper, carrot, pimentos and macaroni. Refrigerate for at least 4 hours before serving, but preferably overnight.",20 mins,10 mins,4 hrs 30 mins,10,10 servings,390
Candied Kielbasa,https://www.allrecipes.com/recipe/14809/candied-kielbasa/,meat-and-poultry,BUCHKO,"Kielbasa, also called kielbasy or Polish sausage, is a spicy sausage usually made with pork (though beef is sometimes added). It comes in chunky links, and is sold precooked. I haven't met anyone yet who didn't like this dish. I even like it and I really don't care for kielbasa that much! Another bonus is that it is easy to make, and is yet another recipe for your slow cooker.",4.46,539,418,"1 cup packed brown sugar ; ? cup ketchup ; ? cup prepared horseradish ; 2 pounds kielbasa sausage, sliced thin","In a slow cooker combine the sugar, ketchup and horseradish. Add the sausage, and mix well. Cook on High until it starts to boil.  Reduce heat to Low, and cook until sauce thickens, about 45 minutes to 1 hour.",5 mins,1 hr,1 hr 5 mins,8,8 servings,473.3
Microwave Baked Potato,https://www.allrecipes.com/recipe/85337/microwave-baked-potato/,side-dish,CJME,"If you want the yummy taste of a slowly baked potato but aren't patient enough, or don't have the know-how to bake it in an oven, this is for you. Give it 12 minutes and get a mouth-watering, taste bud-tingling treat.",4.16,381,290,1 large russet potato , 1 tablespoon butter or margarine , 3 tablespoons shredded Cheddar cheese ,   salt and pepper to taste , 3 teaspoons sour cream,"Scrub the potato, and prick several time with the tines of a fork. Place on a plate. Cook on full power in the microwave for 5 minutes. Turn over, and continue to cook for 5 more minutes. When the potato is soft, remove from the microwave, and cut in half lengthwise. Season with salt and pepper, and mash up the inside a little using a fork. Top the open sides with butter and 2 tablespoons of cheese. Return to the microwave, and cook for about 1 minute to melt the cheese. Top with remaining cheese and sour cream, and serve.",1 min,11 mins
The Best Banana Pudding,https://www.allrecipes.com/recipe/22749/the-best-banana-pudding/,desserts,Kenneth Strother,The best no bake banana pudding you will ever find (or so I've been told by many).,4.71,995,739,"1 (5 ounce) package instant vanilla pudding mix ; 2 cups cold milk ; 1 (14 ounce) can sweetened condensed milk ; 1 tablespoon vanilla extract ; 1 (12 ounce) container frozen whipped topping, thawed ; 1 (16 ounce) package vanilla wafers ; 14  bananas, sliced","In a large mixing bowl, beat pudding mix and milk 2 minutes.  Blend in condensed milk until smooth.  Stir in vanilla and fold in whipped topping.  Layer wafers, bananas and pudding mixture in a glass serving bowl.  Chill until serving.",25 mins,,25 mins,20,20 servings,328.9
Best Lemonade Ever,https://www.allrecipes.com/recipe/32385/best-lemonade-ever/,drinks,Jo,This is a very refreshing drink!,4.76,2903,2121,1 ? cups white sugar , 8 cups water , 1 ? cups lemon juice,"In a small saucepan, combine sugar and 1 cup water.  Bring to boil and stir to dissolve sugar. Allow to cool to room temperature, then cover and refrigerate until chilled. Remove seeds from lemon juice, but leave pulp. In pitcher, stir together chilled syrup, lemon juice and remaining 7 cups water.",30 mins,5 mins,4 hrs 35 mins,10
Tatertot Casserole,https://www.allrecipes.com/recipe/222037/tatertot-casserole/,main-dish,barryzimm,Quick and easy casserole everyone will love.,4.45,375,248,1 pound ground beef , 1 pinch salt and ground black pepper to taste , 1 (10.75 ounce) can  condensed cream of mushroom soup , 2 cups shredded Cheddar cheese , 1 (16 ounce) package frozen tater tots,"Preheat oven to 350 degrees F (175 degrees C). Cook and stir ground beef in a large skillet over medium heat until no longer pink and completely browned, 7 to 10 minutes; season with salt and black pepper. Stir cream of mushroom soup into the cooked ground beef; pour the mixture into a 9x13-inch baking dish. Layer tater tots evenly over the ground beef mixture; top with Cheddar cheese. Bake until tater tots are golden brown and hot, 30 to 45 minutes.",10 mins,30 mins
Soft Oatmeal Cookies,https://www.allrecipes.com/recipe/19247/soft-oatmeal-cookies/,desserts,BITTERSWEET1,These oatmeal cookies are very moist with a good flavor. Add a cup of raisins or nuts if you desire.,4.68,5175,3869,"1 cup butter, softened ; 1 cup white sugar ; 1 cup packed brown sugar ; 2  eggs ; 1 teaspoon vanilla extract ; 2 cups all-purpose flour ; 1 teaspoon baking soda ; 1 teaspoon salt ; 1 ? teaspoons ground cinnamon ; 3 cups quick cooking oats","In a medium bowl, cream together butter, white sugar, and brown sugar. Beat in eggs one at a time, then stir in vanilla. Combine flour, baking soda, salt, and cinnamon; stir into the creamed mixture. Mix in oats. Cover, and chill dough for at least one hour. Preheat the oven to 375 degrees F (190 degrees C). Grease cookie sheets. Roll the dough into walnut sized balls, and place 2 inches apart on cookie sheets. Flatten each cookie with a large fork dipped in sugar. Bake for 8 to 10 minutes in preheated oven. Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely.",15 mins,10 mins,2 hrs,24,2 dozen,218
Three-Ingredient Baked Chicken Breasts,https://www.allrecipes.com/recipe/239137/three-ingredient-baked-chicken-breasts/,meat-and-poultry,Jennifer Jones,"I use this as a basic baked chicken recipe when another recipe calls for cooked chicken. Works great for everything and is super customizable. Sometimes I use garlic salt or other seasonings, depending on what I'm using it for.",4.34,391,295,"? cup butter, melted ; 1 teaspoon salt ; 4  skinless, boneless chicken breast halves","Preheat oven to 350 degrees F (175 degrees C). Lightly butter a baking dish. Stir 1/4 cup melted butter and salt together in a bowl. Arrange chicken in the baking dish. Brush butter mixture onto the chicken until thoroughly coated, pouring any extra over the chicken. Bake in the preheated oven until no longer pink in the center and the juices run clear, about 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).",10 mins,30 mins,40 mins,4,4 servings,227.1
